year,resource,variable,units,magnitude,source,data_value,flag
2009,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,565588,R
2009,Oil,Generation,Gigawatt hours,Actual,MBIE,98,F
2009,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,8958433,R
2009,Renewable,Generation,Gigawatt hours,Actual,MBIE,28308,F
2009,Renewable,Gigawatt hours,Number,Percent,MBIE,69,R
2009,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,8709962,R
2009,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,248471,R
2009,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,716675,R
2009,Renewable,Resource rent,Number,Percent,Environmental Accounts,69,R
2009,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1093,R
2009,Solar,Generation,Gigawatt hours,Actual,MBIE,3,F
2009,Solar,Gigawatt hours,Number,Percent,MBIE,0,F
2009,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1062,R
2009,Solar,Other changes,Dollars,Thousands,Environmental Accounts,31,R
2009,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,87,R
2009,Total generation,Generation,Gigawatt hours,Actual,MBIE,41279,R
2009,Total generation,Prices,Number,Average,Electricity Authority,105,F
2009,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1045057,R
2009,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2009,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,344763,R
2009,Wind,Generation,Gigawatt hours,Actual,MBIE,1089,F
2009,Wind,Gigawatt hours,Number,Percent,MBIE,3,F
2009,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,323942,R
2009,Wind,Other changes,Dollars,Thousands,Environmental Accounts,20821,R
2009,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,27581,R
2009,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,149572,R
2009,Wood,Generation,Gigawatt hours,Actual,MBIE,473,F
2009,Wood,Gigawatt hours,Number,Percent,MBIE,1,F
2009,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,151450,R
2009,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-1879,R
2009,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,11966,R
2010,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,68658,R
2010,Biogas,Generation,Gigawatt hours,Actual,MBIE,221,F
2010,Biogas,Gigawatt hours,Number,Percent,MBIE,1,F
2010,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,65001,R
2010,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,3657,R
2010,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5493,R
2010,Coal,Generation,Gigawatt hours,Actual,MBIE,3109,F
2010,Gas,Generation,Gigawatt hours,Actual,MBIE,7842,R
2010,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1453871,R
2010,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4671,F
2010,Geothermal,Gigawatt hours,Number,Percent,MBIE,11,F
